Year,EV Cost (₹),Petrol Cost (₹),Annual EV Cost,Annual Petrol Cost,Annual Savings,Savings Over Petrol
1,1366285.7142857143,1100000.0,16285.714285714286,100000.0,77714.28571428571,-266285.7142857143
2,1382571.4285714286,1200000.0,16285.714285714286,100000.0,77714.28571428571,-182571.42857142864
3,1398857.142857143,1300000.0,16285.714285714286,100000.0,77714.28571428571,-98857.14285714296
4,1415142.8571428573,1400000.0,16285.714285714286,100000.0,77714.28571428571,-15142.857142857276
5,1431428.5714285716,1500000.0,16285.714285714286,100000.0,77714.28571428571,68571.4285714284
6,1447714.285714286,1600000.0,16285.714285714286,100000.0,77714.28571428571,152285.7142857141
7,1464000.0000000002,1700000.0,16285.714285714286,100000.0,77714.28571428571,235999.99999999977
8,1480285.7142857146,1800000.0,16285.714285714286,100000.0,77714.28571428571,319714.28571428545
9,1496571.4285714289,1900000.0,16285.714285714286,100000.0,77714.28571428571,403428.57142857113
10,1512857.1428571432,2000000.0,16285.714285714286,100000.0,77714.28571428571,487142.8571428568
